




﻿No. of App.,Application date,Acceptance date,Description of project and contract works,Project postcode,Claimed amount (ex GST),Payment Schedule provided,Payment Schedule provision,Amount of Payment Schedule (ex GST),Section of Act application made under,Section 18(2) notice issued,Business Type/Activity (Claimant),Business Structure (Claimant),Claimant advisers,Business Type/Activity (Respondent),Business Structure (Respondent),Respondent advisers,Determination status,Determination completion date,Reasons if the application is not determined,s21(2B) new reasons provided by Respondent,s21(2B) notice sent to Claimant,s22(4)(b) extension of time sought,Determination released,Determination released date, Adjudicated amount (ex GST) ,Amended determination,Fee type,Total Adjudicator fee (ex GST),Adjudicator's fee payable by Claimant %,Adjudicator's fee payable by Respondent %,Adjudicator's fee payable by Claimant (ex GST),Adjudicator's fee payable by Respondent (ex GST),Other Adjudicator fees,Value of other Adjudicator fees (ex GST),ANA application fee (ex GST),Adjudication Certificate issued,Adjudication Certificate fee (ex GST),Date Adjudication Certificate issued,Other ANA fees,Value of Other ANA fees (ex GST),Adjudicator fee charged,ANA percentage of Adjudicator fee %,ANA fee from Adjudicator fee (ex GST),Adjudicator share of adjudicator fee - amount
12,02-Jul-2021,07-Jul-2021,"Supply and install drainer, sewer and stormwater and temp fence hire",3498,"25,560.12",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,28-Jul-2021,N/A,No,N/A,No,Yes,02-Aug-2021,"25,560.12",No,Hourly,818.18,0.0000%,100.0000%,0.00,818.18,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,272.73,545.45
13,02-Jul-2021,07-Jul-2021,"Supply and install drainer, sewer and stormwater ",3500,"5,185.00",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,28-Jul-2021,N/A,No,N/A,No,Yes,02-Aug-2021,"5,185.00",No,Hourly,613.64,0.0000%,100.0000%,0.00,613.64,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,204.55,409.09
14,02-Jul-2021,N/A,Supply and install manual louvres shutters,3125,"848,509.53",Yes,s15,0.00,s.18(1)(a)(i),N/A,Supplier,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
15,02-Jul-2021,07-Jul-2021,"Supply and install metal roof, rough in and fit off",3500,"13,172.13",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,28-Jul-2021,N/A,No,N/A,No,Yes,02-Aug-2021,"13,172.13",No,Hourly,818.18,0.0000%,100.0000%,0.00,818.18,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,272.73,545.45
16,02-Jul-2021,07-Jul-2021,Supply and install roof downpipes and  fit off and drainage roll,3500,"4,472.91",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,28-Jul-2021,N/A,No,N/A,No,Yes,02-Aug-2021,"4,472.91",No,Hourly,613.64,0.0000%,100.0000%,0.00,613.64,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,204.55,409.09
17,02-Jul-2021,07-Jul-2021,Supply and install roof downpipes and plumber fit off,3500,"13,950.86",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,28-Jul-2021,N/A,No,N/A,No,Yes,02-Aug-2021,"13,950.86",No,Hourly,818.18,0.0000%,100.0000%,0.00,818.18,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,272.73,545.45
18,02-Jul-2021,07-Jul-2021,Supply and install roof downpipes and plumber fit off,3500,"12,495.49",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,28-Jul-2021,N/A,No,N/A,No,Yes,02-Aug-2021,"12,495.49",No,Hourly,818.18,0.0000%,100.0000%,0.00,818.18,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,272.73,545.45
19,02-Jul-2021,07-Jul-2021,"Supply and install roofing, downpipes and roof edge protection",3500,"21,129.92",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,28-Jul-2021,N/A,No,N/A,No,Yes,02-Aug-2021,"21,129.92",No,Hourly,818.18,0.0000%,100.0000%,0.00,818.18,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,272.73,545.45
20,02-Jul-2021,07-Jul-2021,"Supply and install stormwater, fit off and range hood plumber",3500,"6,187.70",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,28-Jul-2021,N/A,No,N/A,No,Yes,02-Aug-2021,"6,187.70",No,Hourly,613.64,0.0000%,100.0000%,0.00,613.64,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,204.55,409.09
21,02-Jul-2021,07-Jul-2021,"Supply and install stormwater, fit off and solar panel",3500,"4,576.02",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,28-Jul-2021,N/A,No,N/A,No,Yes,02-Aug-2021,"4,576.02",No,Hourly,613.64,0.0000%,100.0000%,0.00,613.64,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,204.55,409.09
