




﻿No. of App.,Application date,Acceptance date,Description of project and contract works,Project postcode,Claimed amount (ex GST),Payment Schedule provided,Payment Schedule provision,Amount of Payment Schedule (ex GST),Section of Act application made under,Section 18(2) notice issued,Business Type/Activity (Claimant),Business Structure (Claimant),Claimant advisers,Business Type/Activity (Respondent),Business Structure (Respondent),Respondent advisers,Determination status,Determination completion date,Reasons if the application is not determined,s21(2B) new reasons provided by Respondent,s21(2B) notice sent to Claimant,s22(4)(b) extension of time sought,Determination released,Determination released date, Adjudicated amount (ex GST) ,Amended determination,Fee type,Total Adjudicator fee (ex GST),Adjudicator's fee payable by Claimant %,Adjudicator's fee payable by Respondent %,Adjudicator's fee payable by Claimant (ex GST),Adjudicator's fee payable by Respondent (ex GST),Other Adjudicator fees,Value of other Adjudicator fees (ex GST),ANA application fee (ex GST),Adjudication Certificate issued,Adjudication Certificate fee (ex GST),Date Adjudication Certificate issued,Other ANA fees,Value of Other ANA fees (ex GST),Adjudicator fee charged,ANA percentage of Adjudicator fee %,ANA fee from Adjudicator fee (ex GST),Adjudicator share of adjudicator fee - amount
52,03-Aug-2021,06-Aug-2021,Carpentry lock-up and fixes package,3136,"6,400.00",Yes,s15,"2,482.42",s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,20-Aug-2021,N/A,No,N/A,No,Yes,25-Aug-2021,"2,563.17",Yes,Hourly,"2,072.73",50.0000%,50.0000%,"1,036.37","1,036.36",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,690.91,"1,381.82"
53,06-Aug-2021,11-Aug-2021,"Manufacture, supply and install steel frame walls, trusses and ceilings",3026,"8,856.36",Yes,s15,"3,330.91",s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,24-Aug-2021,N/A,No,N/A,No,Yes,26-Aug-2021,"8,856.36",N/A,Hourly,"1,363.64",0.0000%,100.0000%,0.00,"1,363.64",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,454.55,909.09
54,06-Aug-2021,10-Aug-2021,Supply and installation of stairs,3083,"15,093.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,19-Aug-2021,N/A,No,N/A,No,Yes,19-Aug-2021,"15,093.00",No,Capped,"1,200.00",0.0000%,100.0000%,0.00,"1,200.00",N/A,N/A,0.00,Yes,0.00,27-Sep-2021,N/A,N/A,Yes,15.0000%,180.00,"1,020.00"
55,09-Aug-2021,10-Aug-2021,Concreting works,3058,"44,957.21",Yes,s18,"17,090.40",s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,27-Aug-2021,N/A,Yes,Yes,Yes,Yes,27-Aug-2021,"34,696.21",No,Capped,"3,500.00",50.0000%,50.0000%,"1,750.00","1,750.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,525.00,"2,975.00"
56,11-Aug-2021,18-Aug-2021,Construction of residential apartments,3184,"26,445.00",No,s18,0.00,s.18(1)(b),Yes,Head contractor,Pty Ltd Company,None,Major Subcontractor,Pty Ltd Company,None,Determined,01-Sep-2021,N/A,Yes,Yes,No,Yes,03-Sep-2021,0.00,N/A,Hourly,906.82,100.0000%,0.0000%,906.82,0.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,302.27,604.55
57,11-Aug-2021,16-Aug-2021,Design and construct residential apartments,3205,"432,494.50",Yes,s15,0.00,s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,31-Aug-2021,N/A,No,N/A,Yes,Not released,Not released,Withheld,Withheld,Hourly,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld
58,11-Aug-2021,N/A,"Supply and install hydraulic, sanitary, civil, sewer, fire and gas services ",3939,"21,030.55",Yes,s18,"2,259.09",s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
59,11-Aug-2021,N/A,"Supply and install hydraulic, sanitary, civil, sewer, fire and gas services ",3052,"13,486.50",Yes,s18,0.00,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
60,18-Aug-2021,26-Aug-2021,Construction of basement,3186,"126,655.52",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,Solicitors,Determined,16-Sep-2021,N/A,Yes,Yes,Yes,Yes,08-Oct-2021,"71,620.32",N/A,Hourly,"15,443.18",0.0000%,100.0000%,"15,443.18",0.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,"5,147.73","10,295.45"
61,20-Aug-2021,26-Aug-2021,Structural engineering consultancy services,3039,"22,840.00",Yes,s15,"18,460.00",s.18(1)(a)(i),N/A,Consultant,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
62,23-Aug-2021,27-Aug-2021,Structural steel works,3925,"958,475.00",Yes,s15,0.00,s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Settled by parties,No,N/A,Yes,N/A,N/A,N/A,N/A,Hourly,"2,530.00",100.0000%,0.0000%,"2,530.00",0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,Yes,15.0000%,379.50,"2,150.50"
63,24-Aug-2021,30-Aug-2021,Hydraulic services,3078,"35,087.64",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,06-Sep-2021,N/A,No,N/A,No,Yes,18-Oct-2021,"30,852.62",N/A,Hourly,"1,534.09",0.0000%,100.0000%,0.00,"1,534.09",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,511.36,"1,022.73"
64,24-Aug-2021,N/A,Installation of new roof and wall cladding,3068,"12,522.08",Yes,s15,"3,872.40",s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
65,24-Aug-2021,N/A,Installation of new roof and wall cladding,3337,"11,552.20",Yes,s15,"1,160.27",s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
66,24-Aug-2021,27-Aug-2021,Office fit out,3032,"102,876.13",Yes,s18,"61,560.57",s.18(1)(b),Yes,Developer,Pty Ltd Company,Claim preparer,Developer,Pty Ltd Company,None,Determined,10-Sep-2021,N/A,Yes,Yes,No,Yes,15-Sep-2021,"102,876.13",N/A,Hourly,"8,181.82",0.0000%,100.0000%,0.00,"8,181.82",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,"2,727.27","5,454.55"
67,25-Aug-2021,31-Aug-2021,Maintenance of wind turbine generators,3352,"5,739,758.63",Yes,s15,0.00,s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,Solicitors,Developer,Partnership,Solicitors,Determined,15-Sep-2021,N/A,No,N/A,Yes,Yes,17-Sep-2021,"5,730,848.60",N/A,Hourly,"18,818.18",0.0000%,100.0000%,0.00,"18,818.18",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,0.0000%,"6,272.73","12,545.45"
68,27-Aug-2021,01-Sep-2021,Architect services for construction of apartments,3142,"52,719.00",Yes,s18,0.00,s.18(1)(a)(i),No,Consultant,Pty Ltd Company,Claim preparer,Developer,Pty Ltd Company,Solicitors,Determined,20-Sep-2021,N/A,No,No,Yes,Yes,22-Sep-2021,"40,964.00",N/A,Hourly,"6,600.00",0.0000%,100.0000%,0.00,"6,600.00",N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,25.0000%,"1,650.00","4,950.00"
69,27-Aug-2021,01-Sep-2021,Prestressing works,3146,"66,311.00",Yes,s15,"65,279.00",s.18(1)(a)(ii),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,08-Sep-2021,N/A,No,N/A,No,Yes,10-Sep-2021,"65,279.00",No,Capped,"5,000.00",0.0000%,100.0000%,0.00,"5,000.00",N/A,N/A,0.00,Yes,0.00,20-Sep-2021,N/A,N/A,Yes,15.0000%,750.00,"4,250.00"
70,27-Aug-2021,02-Sep-2021,Supply and install cladding,3818,"18,027.10",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Trust,None,Determined,16-Sep-2021,N/A,No,N/A,No,Yes,20-Sep-2021,0.00,N/A,Hourly,906.82,100.0000%,0.0000%,906.82,0.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,302.27,604.55
71,31-Aug-2021,06-Sep-2021,Electrical Works (new pits and metering),3581,"37,224.39",Yes,s18,0.00,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Other,Response preparer,Determined,23-Sep-2021,N/A,No,N/A,Yes,Yes,24-Sep-2021,"37,224.39",N/A,Hourly,"4,090.91",0.0000%,100.0000%,0.00,"4,090.91",N/A,N/A,0.00,Yes,500.00,27-Oct-2021,Merchant Fee,6.65,Yes,33.3333%,"1,363.64","2,727.27"
72,31-Aug-2021,N/A,Installation of new roof and wall cladding,3068,"12,522.08",Yes,s15,"3,872.40",s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
73,31-Aug-2021,N/A,Installation of new roof and wall cladding,3337,"11,552.20",Yes,s15,"1,160.27",s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
74,01-Sep-2021,06-Sep-2021,Apply render to cladding,3056,"41,454.25",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Sole Trader,None,Major subcontractor,Pty Ltd Company,Solicitors,Not determined,,Timed out,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
75,01-Sep-2021,06-Sep-2021,Install and render cladding,3088,"3,973.31",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Sole Trader,None,Major subcontractor,Pty Ltd Company,Solicitors,Not determined,,Timed out,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
76,01-Sep-2021,03-Sep-2021,Roofing works,3051,"13,774.29",Yes,s15,"4,259.64",s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,15-Sep-2021,N/A,No,N/A,No,Yes,16-Sep-2021,0.00,No,Capped,"1,200.00",100.0000%,0.0000%,"1,200.00",0.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,180.00,"1,020.00"
77,01-Sep-2021,03-Sep-2021,Roofing works,3337,"12,707.42",Yes,s15,"1,276.34",s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,15-Sep-2021,N/A,No,N/A,No,Yes,16-Sep-2021,0.00,No,Capped,"1,200.00",100.0000%,0.0000%,"1,200.00",0.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,180.00,"1,020.00"
78,04-Sep-2021,13-Sep-2021,"Plant, Labour Hire and Drilling",3020,"75,000.00",No,s18,,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,None,Developer,Pty Ltd Company,None,Determined,23-Sep-2021,N/A,No,No,Yes,Yes,23-Sep-2021,0.00,,Fixed,"5,000.00",100.0000%,0.0000%,"5,000.00",0.00,,,,No,,,,,Yes,15.0000%,750.00,"4,250.00"
79,06-Sep-2021,09-Sep-2021,General construction of apartments,3070,"169,854.99",Yes,s18,"112,658.63",s.18(1)(b),Yes,Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,21-Sep-2021,N/A,No,N/A,N/A,Yes,22-Sep-2021,"169,854.99",N/A,Hourly,"8,590.91",0.0000%,100.0000%,0.00,"8,590.91",N/A,N/A,0.00,Yes,500.00,30-Sep-2021,Merchant Fee,6.65,Yes,33.3333%,"2,863.64","5,727.27"
80,07-Sep-2021,09-Sep-2021,Excavation works,3212,"32,928.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Other,None,Determined,22-Sep-2021,N/A,No,N/A,No,Yes,23-Sep-2021,"32,928.00",Yes,Capped,"3,500.00",0.0000%,100.0000%,0.00,"3,500.00",N/A,N/A,0.00,Yes,0.00,05-Oct-2021,N/A,N/A,Yes,15.0000%,525.00,"2,975.00"
81,13-Sep-2021,16-Sep-2021,"Design, supply and install glazing to apartment building",3000,"58,187.70",Yes,s18,0.00,s.18(1)(a)(i),No,Manufacturer of building materials or components,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,Solicitors,Determined,30-Sep-2021,N/A,Yes,Yes,Yes,Yes,08-Nov-2021,"38,516.76",No,Hourly,N/A,50.0000%,50.0000%,,,,,,,,,N/A,0.00,Yes,15.0000%,,0.00
82,13-Sep-2021,17-Sep-2021,Supply and installation of joinery,3104,"109,801.58",Yes,s15,"15,348.04",s.18(1)(a)(i),N/A,Trade subcontractor,Trust,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,01-Oct-2021,N/A,Yes,Yes,Yes,Yes,06-Oct-2021,"87,643.22",No,Hourly,"8,181.82",0.0000%,100.0000%,0.00,"8,181.82",N/A,N/A,0.00,Yes,500.00,25-Oct-2021,Merchant Fee,3.70,Yes,33.3333%,"2,727.27","5,454.55"
83,15-Sep-2021,N/A,Plastering works,3756,"3,145.45",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Other,None,Head contractor,Other,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
84,15-Sep-2021,16-Sep-2021,Scaffolding works,Multiple,"77,713.49",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Trust,None,Major subcontractor,Pty Ltd Company,Solicitors,Determined,05-Oct-2021,N/A,Yes,Yes,No,Yes,05-Oct-2021,"71,223.49",No,Capped,"5,000.00",50.0000%,50.0000%,"2,500.00","2,500.00",N/A,N/A,0.00,Yes,0.00,13-Oct-2021,N/A,N/A,Yes,15.0000%,750.00,"4,250.00"
85,16-Sep-2021,17-Sep-2021,Concreting works,3051,"423,260.62",Yes,s18,0.00,s.18(1)(b),Yes,Major subcontractor,Other,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,09-Nov-2021,N/A,Yes,Yes,Yes,Yes,09-Nov-2021,"374,460.73",No,Hourly,"35,200.00",50.0000%,50.0000%,"17,600.00","17,600.00",N/A,N/A,0.00,Yes,0.00,17-Nov-2021,N/A,N/A,Yes,15.0000%,"5,280.00","29,920.00"
86,16-Sep-2021,17-Sep-2021,Concreting works,3051,"423,260.62",Yes,s18,0.00,s.18(1)(b),Yes,Major subcontractor,Other,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Timed out,Yes,Yes,Yes,N/A,N/A,N/A,N/A,Hourly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
87,16-Sep-2021,21-Sep-2021,"Supply of plumbing, hydraulics and associated works",3059,"33,169.63",Yes,s15,0.00,s.18(1)(a)(i),No,Trade subcontractor,Trust,Solicitors,Head contractor,Pty Ltd Company,None,Determined,04-Oct-2021,N/A,Yes,Yes,No,Yes,04-Oct-2021,"26,050.45",,Fixed,"3,000.00",50.0000%,50.0000%,"1,500.00","1,500.00",,,,No,,,,,Yes,15.0000%,450.00,"2,550.00"
88,17-Sep-2021,N/A,Plastering works,3756,"1,027.27",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Other,None,Head contractor,Other,None,Not determined,,Timed out,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
89,19-Sep-2021,22-Sep-2021,Rendering,3802,"19,725.45",Yes,s18,0.00,s.18(1)(b),Yes,Consultant,Sole Trader,None,Major subcontractor,Partnership,Solicitors,Determined,23-Sep-2021,N/A,N/A,N/A,N/A,Yes,23-Sep-2021,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
90,21-Sep-2021,27-Sep-2021,Civil and landscaping works ,3015,"105,810.85",Yes,s15,"-26,542.77",s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Determined,09-Oct-2021,N/A,Yes,Yes,No,Yes,12-Oct-2021,"59,864.45",No,Hourly,"6,136.36",0.0000%,100.0000%,0.00,"6,136.36",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,"2,045.45","4,090.91"
91,21-Sep-2021,23-Sep-2021,Excavation works,3228,"8,500.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Other,None,Determined,04-Oct-2021,N/A,No,N/A,No,Yes,04-Oct-2021,0.00,No,Capped,"1,200.00",100.0000%,0.0000%,"1,200.00",0.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,180.00,"1,020.00"
92,21-Sep-2021,23-Sep-2021,Mechanical works,3000,"183,774.91",Yes,s15,0.00,s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Trust,Solicitors,Determined,12-Oct-2021,N/A,Yes,Yes,Yes,Yes,12-Oct-2021,"50,133.91",No,Hourly,"19,800.00",50.0000%,50.0000%,"9,900.00","9,900.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,"2,970.00","16,830.00"
93,22-Sep-2021,27-Sep-2021,Roofing works,3337,"11,431.12",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,11-Oct-2021,N/A,No,N/A,Yes,Yes,12-Oct-2021,0.00,No,Capped,"1,200.00",100.0000%,0.0000%,"1,200.00",0.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,180.00,"1,020.00"
94,29-Sep-2021,30-Sep-2021,Engineering services,3205,"126,935.25",Yes,s18,0.00,s.18(1)(b),Yes,Consultant,Pty Ltd Company,Solicitors,Major subcontractor,Pty Ltd Company,Solicitors,Determined,19-Oct-2021,N/A,Yes,Yes,Yes,Yes,21-Oct-2021,"118,617.25",No,Hourly,"13,200.00",50.0000%,50.0000%,"6,600.00","6,600.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,"1,980.00","11,220.00"
95,29-Sep-2021,30-Sep-2021,Engineering services,3066,"90,886.00",Yes,s18,0.00,s.18(1)(b),Yes,Consultant,Pty Ltd Company,Solicitors,Major subcontractor,Pty Ltd Company,Solicitors,Determined,20-Oct-2021,N/A,Yes,Yes,Yes,Yes,21-Oct-2021,"90,886.00",No,Capped,"5,000.00",0.0000%,100.0000%,0.00,"5,000.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,750.00,"4,250.00"
96,29-Sep-2021,N/A,Engineering services,3000,"29,434.80",Yes,s18,"14,349.80",s.18(1)(b),Yes,Consultant,Pty Ltd Company,Solicitors,Major subcontractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
97,29-Sep-2021,30-Sep-2021,Prestressing works,3146,"4,737.00",Yes,s15,"3,704.00",s.18(1)(a)(ii),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,11-Oct-2021,N/A,No,N/A,No,Yes,12-Oct-2021,"3,704.00",No,Capped,600.00,0.0000%,100.0000%,0.00,600.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,90.00,510.00
98,01-Oct-2021,06-Oct-2021,Plumbing and drainage works,3939,"24,952.27",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Determined,08-Oct-2021,N/A,No,N/A,No,Yes,08-Oct-2021,0.00,No,Hourly,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
99,01-Oct-2021,06-Oct-2021,Plumbing works for new residential apartments,3065,"99,250.00",Yes,s15,0.00,s.18(1)(a)(i),No,Trade subcontractor,Pty Ltd Company,Claim preparer,Developer,Pty Ltd Company,Solicitors,Determined,19-Oct-2021,N/A,No,N/A,No,Yes,19-Oct-2021,"99,250.00",No,Hourly,"9,600.00",0.0000%,100.0000%,0.00,"9,600.00",0,0.00,0.00,No,N/A,N/A,N/A,0.00,Yes,25.0000%,"2,400.00","7,200.00"
100,04-Oct-2021,08-Oct-2021,Timber Framing,3175,"17,222.68",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Trust,None,Head contractor,Pty Ltd Company,None,Determined,22-Oct-2021,N/A,N/A,N/A,No,Yes,25-Oct-2021,0.00,No,N/A,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
101,13-Oct-2021,18-Oct-2021,Roofing Supplies,3931,"24,065.45",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Determined,21-Oct-2021,N/A,N/A,N/A,No,Yes,22-Oct-2021,0.00,No,N/A,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
102,13-Oct-2021,18-Oct-2021,Roofing Supplies,3922,"7,090.91",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Determined,21-Oct-2021,N/A,N/A,N/A,No,Yes,22-Oct-2021,0.00,No,N/A,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
103,14-Oct-2021,18-Oct-2021,Carpet installation works,3186,"12,055.45",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,Solicitors,Major subcontractor,Pty Ltd Company,None,Determined,10-Nov-2021,N/A,Yes,Yes,Yes,Yes,12-Nov-2021,"12,055.45",No,Capped,"1,200.00",0.0000%,100.0000%,0.00,"1,200.00",N/A,N/A,0.00,Yes,0.00,24-Nov-2021,N/A,N/A,Yes,15.0000%,180.00,"1,020.00"
104,16-Oct-2021,20-Oct-2021,Joinery installation,3184,"26,445.00",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Determined,29-Oct-2021,N/A,No,N/A,No,Yes,03-Nov-2021,0.00,No,Hourly,"1,554.55",100.0000%,0.0000%,"1,554.55",0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,Yes,33.3333%,518.18,"1,036.37"
105,18-Oct-2021,19-Oct-2021,Building works,3818,"125,594.13",No,N/A,N/A,s.18(1)(b),Yes,Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,None,Determined,03-Nov-2021,N/A,No,N/A,No,Yes,04-Nov-2021,"124,514.13",No,Hourly,"5,720.00",0.0000%,100.0000%,0.00,"5,720.00",N/A,N/A,0.00,Yes,0.00,15-Nov-2021,N/A,N/A,Yes,15.0000%,858.00,"4,862.00"
106,18-Oct-2021,N/A,Concreting works,3066,"6,985.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
107,18-Oct-2021,19-Oct-2021,Construction works,3810,"80,000.00",Yes,s15,0.00,s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,10-Nov-2021,N/A,Yes,Yes,Yes,Yes,12-Nov-2021,"51,857.73",No,Capped,"5,000.00",50.0000%,50.0000%,"2,500.00","2,500.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,750.00,"4,250.00"
108,19-Oct-2021,22-Oct-2021,Concrete post tensioning,3066,"66,153.36",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Determined,01-Nov-2021,N/A,Yes,Yes,No,Yes,04-Nov-2021,0.00,No,Hourly,"3,272.72",50.0000%,50.0000%,"1,636.36","1,636.36",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,"1,090.90","2,181.82"
